type,time,frames, nrLights
Def,0.565291,1769,32
Def,0.493097,2028,32
Def,0.497018,2012,32
Def,0.505051,1980,32
Def,0.487805,2050,32
Def,0.501756,1993,32
Def,0.49975,2001,32
Def,0.5,2000,32
Def,0.492126,2032,32
Def,0.493583,2026,32
Def,0.47824,2091,32
Def,0.484262,2065,32
Def,0.493583,2026,32
Def,0.489956,2041,32
Def,0.493097,2028,32
Def,0.494071,2024,32
Def,0.490436,2039,32
Def,0.50025,1999,32
Def,0.498008,2008,32
Def,0.492854,2029,32
Def,0.496524,2014,32
Def,0.496032,2016,32
Def,0.499251,2003,32
Def,0.499251,2003,32
Def,0.500501,1998,32
Def,0.501002,1996,32
Def,0.506586,1974,32
Def,0.503018,1988,32
Def,0.497018,2012,32
Def,0.497018,2012,32
Def,0.490918,2037,32
Def,0.505817,1977,32
Def,0.498753,2005,32
Def,0.497512,2010,32
Def,0.495786,2017,32
Def,0.493827,2025,32
Def,0.49505,2020,32
Def,0.504286,1983,32
Def,0.500501,1998,32
Def,0.496524,2014,32
Def,0.504796,1981,32
Def,0.505051,1980,32
Def,0.496032,2016,32
Def,0.503018,1988,32
