type,time,frames, nrLights
For,0.352237,2839,12
For,0.236574,4227,12
For,0.234412,4266,12
For,0.23116,4326,12
For,0.22941,4359,12
For,0.227842,4389,12
For,0.229516,4357,12
For,0.228363,4379,12
For,0.230787,4333,12
For,0.232504,4301,12
For,0.23359,4281,12
For,0.232342,4304,12
For,0.227635,4393,12
For,0.231642,4317,12
For,0.233427,4284,12
For,0.234137,4271,12
For,0.234302,4268,12
For,0.227221,4401,12
For,0.22553,4434,12
For,0.232666,4298,12
For,0.232721,4297,12
For,0.232288,4305,12
For,0.22477,4449,12
For,0.227428,4397,12
For,0.229621,4355,12
For,0.230309,4342,12
For,0.228102,4384,12
For,0.229516,4357,12
For,0.226603,4413,12
For,0.228206,4382,12
For,0.228258,4381,12
For,0.232019,4310,12
For,0.229568,4356,12
For,0.228833,4370,12
For,0.23116,4326,12
For,0.228728,4372,12
For,0.234082,4272,12
For,0.232883,4294,12
For,0.2331,4290,12
For,0.234192,4270,12
For,0.23218,4307,12
For,0.226142,4422,12
For,0.232288,4305,12
For,0.230734,4334,12
For,0.233318,4286,12
For,0.506329,1975,24
For,0.347102,2881,24
For,0.348311,2871,24
For,0.343053,2915,24
For,0.338639,2953,24
For,0.339559,2945,24
For,0.333444,2999,24
For,0.338295,2956,24
For,0.336587,2971,24
For,0.339905,2942,24
For,0.340136,2940,24
For,0.340368,2938,24
For,0.337838,2960,24
For,0.339905,2942,24
For,0.334336,2991,24
For,0.338066,2958,24
For,0.342466,2920,24
For,0.340599,2936,24
For,0.327118,3057,24
For,0.338295,2956,24
For,0.338181,2957,24
For,0.336134,2975,24
For,0.338066,2958,24
For,0.340832,2934,24
For,0.340136,2940,24
For,0.340716,2935,24
For,0.337724,2961,24
For,0.338295,2956,24
For,0.326797,3060,24
For,0.331236,3019,24
For,0.342818,2917,24
For,0.331455,3017,24
For,0.342114,2923,24
For,0.339098,2949,24
For,0.332336,3009,24
For,0.338295,2956,24
For,0.326904,3059,24
For,0.340483,2937,24
For,0.344234,2905,24
For,0.341297,2930,24
For,0.333222,3001,24
For,0.335683,2979,24
For,0.344353,2904,24
For,0.342349,2921,24
For,0.342818,2917,24
For,0.34118,2931,24
For,0.340948,2933,24
For,0.342583,2919,24
For,0.332005,3012,24
For,0.344471,2903,24
For,0.338181,2957,24
For,0.343997,2907,24
For,0.332116,3011,24
For,0.333,3003,24
For,0.343761,2909,24
For,0.834028,1199,36
For,0.490196,2040,36
For,0.459348,2177,36
For,0.460193,2173,36
For,0.453926,2203,36
For,0.441306,2266,36
For,0.437063,2288,36
For,0.447027,2237,36
For,0.446628,2239,36
For,0.447828,2233,36
For,0.443262,2256,36
For,0.448029,2232,36
For,0.442282,2261,36
For,0.440917,2268,36
For,0.441696,2264,36
For,0.443459,2255,36
For,0.438404,2281,36
For,0.444247,2251,36
For,0.448229,2231,36
For,0.447427,2235,36
For,0.447628,2234,36
For,0.443066,2257,36
For,0.446828,2238,36
For,0.44843,2230,36
For,0.447227,2236,36
For,0.44843,2230,36
For,0.44603,2242,36
For,0.447628,2234,36
For,0.446628,2239,36
For,0.440529,2270,36
For,0.445236,2246,36
For,0.439947,2273,36
For,0.44964,2224,36
For,0.448632,2229,36
For,0.44603,2242,36
For,0.453515,2205,36
For,0.447828,2233,36
For,0.454752,2199,36
For,0.450653,2219,36
For,0.45208,2212,36
For,0.448029,2232,36
For,0.453721,2204,36
For,0.453721,2204,36
For,0.45045,2220,36
For,0.451264,2216,36
For,0.452694,2209,36
For,0.443066,2257,36
For,0.440723,2269,36
For,0.447828,2233,36
For,0.451671,2214,36
For,0.452284,2211,36
For,0.451264,2216,36
For,0.446429,2240,36
For,0.436491,2291,36
For,0.44603,2242,36
For,0.447628,2234,36
For,0.44484,2248,36
For,0.441112,2267,36
For,0.450653,2219,36
For,0.45208,2212,36
For,0.453515,2205,36
For,0.442087,2262,36
For,0.451467,2215,36
For,0.444444,2250,36
For,0.441696,2264,36
For,0.44484,2248,36
For,0.452694,2209,36
For,0.439754,2274,36
For,0.448229,2231,36
For,0.443656,2254,36
For,0.447027,2237,36
For,0.441306,2266,36
For,0.448833,2228,36
For,0.44843,2230,36
For,0.437637,2285,36
For,0.44603,2242,36
For,0.443656,2254,36
For,0.44964,2224,36
For,0.448229,2231,36
For,0.436872,2289,36
For,0.44603,2242,36
For,0.456413,2191,36
For,0.453309,2206,36
For,0.446429,2240,36
For,0.447227,2236,36
For,0.444444,2250,36
